"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 10:42:51 GMT 2024","Mon Jan 15 10:42:52 GMT 2024","923","","Login","","","","Validacao campos obrigatorios login (example #1)",""
"passed","Mon Jan 15 10:42:48 GMT 2024","Mon Jan 15 10:42:51 GMT 2024","3557","","Login","","","","Login com conta cadastrada",""
"failed","Mon Jan 15 10:42:52 GMT 2024","Mon Jan 15 10:42:57 GMT 2024","5090","","Login","","","","Validacao campos obrigatorios login (example #2)",""
"passed","Mon Jan 15 10:43:50 GMT 2024","Mon Jan 15 10:44:03 GMT 2024","12209","","Eventos","","","","Editar Card Eventos",""
"passed","Mon Jan 15 10:43:43 GMT 2024","Mon Jan 15 10:43:50 GMT 2024","7364","","Eventos","","","","Validar Card Eventos",""
"passed","Mon Jan 15 10:43:34 GMT 2024","Mon Jan 15 10:43:38 GMT 2024","4664","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #2)",""
"failed","Mon Jan 15 10:43:10 GMT 2024","Mon Jan 15 10:43:20 GMT 2024","10035","","Eventos","","","","Cadastrar Eventos",""
"passed","Mon Jan 15 10:43:00 GMT 2024","Mon Jan 15 10:43:01 GMT 2024","906","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #1)",""
"failed","Mon Jan 15 10:43:20 GMT 2024","Mon Jan 15 10:43:29 GMT 2024","8794","","Eventos","","","","Cadastrar Eventos somento com campos obrigatórios",""
"failed","Mon Jan 15 10:43:01 GMT 2024","Mon Jan 15 10:43:06 GMT 2024","4964","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #2)",""
"passed","Mon Jan 15 10:43:06 GMT 2024","Mon Jan 15 10:43:08 GMT 2024","2068","","Criacao de Conta","","","","Criacao de conta ja existente",""
"passed","Mon Jan 15 10:43:38 GMT 2024","Mon Jan 15 10:43:43 GMT 2024","4700","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #3)",""
"passed","Mon Jan 15 10:42:59 GMT 2024","Mon Jan 15 10:43:00 GMT 2024","1804","","Criacao de Conta","","","","Criacao de conta com sucesso",""
"passed","Mon Jan 15 10:44:04 GMT 2024","Mon Jan 15 10:44:05 GMT 2024","454","","Validar Página Inicial","","","","Acessar a Página Inicial",""
"passed","Mon Jan 15 10:43:29 GMT 2024","Mon Jan 15 10:43:33 GMT 2024","4809","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #1)",""
