"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Feb 02 10:35:39 GMT 2024","Fri Feb 02 10:35:44 GMT 2024","4834","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #2)",""
"failed","Fri Feb 02 10:35:30 GMT 2024","Fri Feb 02 10:35:35 GMT 2024","4894","","Login","","","","Validacao campos obrigatorios login (example #2)",""
"passed","Fri Feb 02 10:36:15 GMT 2024","Fri Feb 02 10:36:19 GMT 2024","3934","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #3)",""
"passed","Fri Feb 02 10:36:06 GMT 2024","Fri Feb 02 10:36:11 GMT 2024","5223","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #1)",""
"failed","Fri Feb 02 10:35:47 GMT 2024","Fri Feb 02 10:35:57 GMT 2024","9686","","Eventos","","","","Cadastrar Eventos",""
"passed","Fri Feb 02 10:35:36 GMT 2024","Fri Feb 02 10:35:38 GMT 2024","1627","","Criacao de Conta","","","","Criacao de conta com sucesso",""
"passed","Fri Feb 02 10:36:42 GMT 2024","Fri Feb 02 10:36:42 GMT 2024","497","","Validar Página Inicial","","","","Acessar a Página Inicial",""
"passed","Fri Feb 02 10:36:27 GMT 2024","Fri Feb 02 10:36:40 GMT 2024","12723","","Eventos","","","","Editar Card Eventos",""
"passed","Fri Feb 02 10:35:38 GMT 2024","Fri Feb 02 10:35:39 GMT 2024","727","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #1)",""
"passed","Fri Feb 02 10:36:19 GMT 2024","Fri Feb 02 10:36:27 GMT 2024","8036","","Eventos","","","","Validar Card Eventos",""
"passed","Fri Feb 02 10:35:44 GMT 2024","Fri Feb 02 10:35:46 GMT 2024","1876","","Criacao de Conta","","","","Criacao de conta ja existente",""
"passed","Fri Feb 02 10:35:29 GMT 2024","Fri Feb 02 10:35:30 GMT 2024","661","","Login","","","","Validacao campos obrigatorios login (example #1)",""
"failed","Fri Feb 02 10:35:57 GMT 2024","Fri Feb 02 10:36:06 GMT 2024","9331","","Eventos","","","","Cadastrar Eventos somento com campos obrigatórios",""
"passed","Fri Feb 02 10:35:26 GMT 2024","Fri Feb 02 10:35:29 GMT 2024","3236","","Login","","","","Login com conta cadastrada",""
"passed","Fri Feb 02 10:36:11 GMT 2024","Fri Feb 02 10:36:15 GMT 2024","3885","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #2)",""
