"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 10:32:28 GMT 2024","Thu Feb 01 10:32:41 GMT 2024","12767","","Eventos","","","","Editar Card Eventos",""
"passed","Thu Feb 01 10:32:42 GMT 2024","Thu Feb 01 10:32:43 GMT 2024","522","","Validar Página Inicial","","","","Acessar a Página Inicial",""
"failed","Thu Feb 01 10:31:33 GMT 2024","Thu Feb 01 10:31:40 GMT 2024","6225","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #2)",""
"failed","Thu Feb 01 10:31:24 GMT 2024","Thu Feb 01 10:31:29 GMT 2024","5077","","Login","","","","Validacao campos obrigatorios login (example #2)",""
"passed","Thu Feb 01 10:31:30 GMT 2024","Thu Feb 01 10:31:32 GMT 2024","1920","","Criacao de Conta","","","","Criacao de conta com sucesso",""
"passed","Thu Feb 01 10:32:15 GMT 2024","Thu Feb 01 10:32:20 GMT 2024","4791","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #3)",""
"passed","Thu Feb 01 10:32:20 GMT 2024","Thu Feb 01 10:32:28 GMT 2024","7896","","Eventos","","","","Validar Card Eventos",""
"passed","Thu Feb 01 10:32:09 GMT 2024","Thu Feb 01 10:32:15 GMT 2024","5763","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #2)",""
"failed","Thu Feb 01 10:31:44 GMT 2024","Thu Feb 01 10:31:55 GMT 2024","10401","","Eventos","","","","Cadastrar Eventos",""
"passed","Thu Feb 01 10:32:04 GMT 2024","Thu Feb 01 10:32:09 GMT 2024","5504","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #1)",""
"failed","Thu Feb 01 10:31:55 GMT 2024","Thu Feb 01 10:32:04 GMT 2024","9052","","Eventos","","","","Cadastrar Eventos somento com campos obrigatórios",""
"passed","Thu Feb 01 10:31:23 GMT 2024","Thu Feb 01 10:31:24 GMT 2024","922","","Login","","","","Validacao campos obrigatorios login (example #1)",""
"passed","Thu Feb 01 10:31:32 GMT 2024","Thu Feb 01 10:31:33 GMT 2024","970","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #1)",""
"passed","Thu Feb 01 10:31:16 GMT 2024","Thu Feb 01 10:31:23 GMT 2024","6997","","Login","","","","Login com conta cadastrada",""
"passed","Thu Feb 01 10:31:40 GMT 2024","Thu Feb 01 10:31:43 GMT 2024","3290","","Criacao de Conta","","","","Criacao de conta ja existente",""
