"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 25 10:06:50 GMT 2024","Thu Jan 25 10:06:55 GMT 2024","4901","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #2)",""
"failed","Thu Jan 25 10:06:14 GMT 2024","Thu Jan 25 10:06:19 GMT 2024","4968","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #2)",""
"passed","Thu Jan 25 10:06:55 GMT 2024","Thu Jan 25 10:07:00 GMT 2024","4837","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #3)",""
"passed","Thu Jan 25 10:06:13 GMT 2024","Thu Jan 25 10:06:14 GMT 2024","963","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #1)",""
"passed","Thu Jan 25 10:07:22 GMT 2024","Thu Jan 25 10:07:23 GMT 2024","463","","Validar Página Inicial","","","","Acessar a Página Inicial",""
"passed","Thu Jan 25 10:07:00 GMT 2024","Thu Jan 25 10:07:08 GMT 2024","7801","","Eventos","","","","Validar Card Eventos",""
"passed","Thu Jan 25 10:06:46 GMT 2024","Thu Jan 25 10:06:50 GMT 2024","4879","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #1)",""
"passed","Thu Jan 25 10:06:19 GMT 2024","Thu Jan 25 10:06:24 GMT 2024","4966","","Criacao de Conta","","","","Criacao de conta ja existente",""
"passed","Thu Jan 25 10:05:55 GMT 2024","Thu Jan 25 10:06:02 GMT 2024","7923","","Login","","","","Login com conta cadastrada",""
"passed","Thu Jan 25 10:07:08 GMT 2024","Thu Jan 25 10:07:21 GMT 2024","12605","","Eventos","","","","Editar Card Eventos",""
"passed","Thu Jan 25 10:06:11 GMT 2024","Thu Jan 25 10:06:13 GMT 2024","1936","","Criacao de Conta","","","","Criacao de conta com sucesso",""
"failed","Thu Jan 25 10:06:03 GMT 2024","Thu Jan 25 10:06:09 GMT 2024","6086","","Login","","","","Validacao campos obrigatorios login (example #2)",""
"failed","Thu Jan 25 10:06:25 GMT 2024","Thu Jan 25 10:06:36 GMT 2024","10793","","Eventos","","","","Cadastrar Eventos",""
"failed","Thu Jan 25 10:06:36 GMT 2024","Thu Jan 25 10:06:46 GMT 2024","9353","","Eventos","","","","Cadastrar Eventos somento com campos obrigatórios",""
"passed","Thu Jan 25 10:06:02 GMT 2024","Thu Jan 25 10:06:03 GMT 2024","907","","Login","","","","Validacao campos obrigatorios login (example #1)",""
