"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 10:59:59 GMT 2024","Thu Feb 01 11:00:00 GMT 2024","870","","Login","","","","Validacao campos obrigatorios login (example #1)",""
"passed","Thu Feb 01 11:00:52 GMT 2024","Thu Feb 01 11:00:59 GMT 2024","7691","","Eventos","","","","Validar Card Eventos",""
"passed","Thu Feb 01 11:01:14 GMT 2024","Thu Feb 01 11:01:14 GMT 2024","447","","Validar Página Inicial","","","","Acessar a Página Inicial",""
"failed","Thu Feb 01 11:00:29 GMT 2024","Thu Feb 01 11:00:37 GMT 2024","8767","","Eventos","","","","Cadastrar Eventos somento com campos obrigatórios",""
"failed","Thu Feb 01 11:00:19 GMT 2024","Thu Feb 01 11:00:29 GMT 2024","10028","","Eventos","","","","Cadastrar Eventos",""
"passed","Thu Feb 01 11:00:07 GMT 2024","Thu Feb 01 11:00:09 GMT 2024","1984","","Criacao de Conta","","","","Criacao de conta com sucesso",""
"passed","Thu Feb 01 11:00:47 GMT 2024","Thu Feb 01 11:00:52 GMT 2024","4705","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #3)",""
"passed","Thu Feb 01 10:59:56 GMT 2024","Thu Feb 01 10:59:59 GMT 2024","3714","","Login","","","","Login com conta cadastrada",""
"passed","Thu Feb 01 11:00:59 GMT 2024","Thu Feb 01 11:01:12 GMT 2024","12415","","Eventos","","","","Editar Card Eventos",""
"passed","Thu Feb 01 11:00:42 GMT 2024","Thu Feb 01 11:00:47 GMT 2024","4751","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #2)",""
"passed","Thu Feb 01 11:00:15 GMT 2024","Thu Feb 01 11:00:17 GMT 2024","2360","","Criacao de Conta","","","","Criacao de conta ja existente",""
"failed","Thu Feb 01 11:00:10 GMT 2024","Thu Feb 01 11:00:15 GMT 2024","4961","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #2)",""
"passed","Thu Feb 01 11:00:09 GMT 2024","Thu Feb 01 11:00:10 GMT 2024","955","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #1)",""
"passed","Thu Feb 01 11:00:37 GMT 2024","Thu Feb 01 11:00:42 GMT 2024","4794","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #1)",""
"failed","Thu Feb 01 11:00:00 GMT 2024","Thu Feb 01 11:00:05 GMT 2024","5035","","Login","","","","Validacao campos obrigatorios login (example #2)",""
