"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 16 10:34:46 GMT 2024","Tue Jan 16 10:34:49 GMT 2024","2491","","Criacao de Conta","","","","Criacao de conta com sucesso",""
"failed","Tue Jan 16 10:35:08 GMT 2024","Tue Jan 16 10:35:16 GMT 2024","8450","","Eventos","","","","Cadastrar Eventos somento com campos obrigatórios",""
"passed","Tue Jan 16 10:34:49 GMT 2024","Tue Jan 16 10:34:50 GMT 2024","955","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #1)",""
"failed","Tue Jan 16 10:34:58 GMT 2024","Tue Jan 16 10:35:08 GMT 2024","9782","","Eventos","","","","Cadastrar Eventos",""
"passed","Tue Jan 16 10:34:38 GMT 2024","Tue Jan 16 10:34:40 GMT 2024","1989","","Login","","","","Validacao campos obrigatorios login (example #1)",""
"passed","Tue Jan 16 10:35:37 GMT 2024","Tue Jan 16 10:35:49 GMT 2024","11936","","Eventos","","","","Editar Card Eventos",""
"passed","Tue Jan 16 10:34:35 GMT 2024","Tue Jan 16 10:34:38 GMT 2024","3360","","Login","","","","Login com conta cadastrada",""
"passed","Tue Jan 16 10:35:17 GMT 2024","Tue Jan 16 10:35:21 GMT 2024","4406","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #1)",""
"passed","Tue Jan 16 10:35:21 GMT 2024","Tue Jan 16 10:35:25 GMT 2024","4551","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #2)",""
"passed","Tue Jan 16 10:35:30 GMT 2024","Tue Jan 16 10:35:37 GMT 2024","7241","","Eventos","","","","Validar Card Eventos",""
"failed","Tue Jan 16 10:34:50 GMT 2024","Tue Jan 16 10:34:55 GMT 2024","4890","","Criacao de Conta","","","","Criacao de conta campos invalidos (example #2)",""
"passed","Tue Jan 16 10:34:55 GMT 2024","Tue Jan 16 10:34:57 GMT 2024","1926","","Criacao de Conta","","","","Criacao de conta ja existente",""
"passed","Tue Jan 16 10:35:51 GMT 2024","Tue Jan 16 10:35:51 GMT 2024","554","","Validar Página Inicial","","","","Acessar a Página Inicial",""
"failed","Tue Jan 16 10:34:40 GMT 2024","Tue Jan 16 10:34:45 GMT 2024","5068","","Login","","","","Validacao campos obrigatorios login (example #2)",""
"passed","Tue Jan 16 10:35:25 GMT 2024","Tue Jan 16 10:35:30 GMT 2024","4263","","Eventos","","","","Validação Cadastrar Eventos sem campos obrigatórios (example #3)",""
